Dependent,Independent,Window,N,SD_residual,Mean_abs_residual,LB_p,LB_sq_p
TTF,JKM,Normalization,801,0.9373601748029795,0.6528785529610117,2.8743607494163825e-10,0
TTF,NBP,Pre-COVID,1001,0.5929323441460287,0.3850323969161818,1.6856738227488677e-11,0.08772119204885875
TTF,NBP,COVID shock,102,2.225402322825618,1.617897332002468,6.054568624236367e-8,0.28823891273688607
TTF,NBP,Interim recovery,290,0.9388541692573713,0.5486786420076588,0,0
TTF,NBP,Energy crisis (pre-war),118,0.34098673934355844,0.264671353242577,0.06031134121359627,0.022712455130599052
TTF,NBP,Post-invasion crisis,208,2.332828382050093,1.4453094896717966,0.24938087330770176,0.17783623290014727
TTF,NBP,Normalization,801,0.5682776611748901,0.4044307013623859,2.6867397195928788e-14,0
TTF,HH,Pre-COVID,1001,0.6201504884411404,0.41470557568545807,5.282141016804687e-6,0
TTF,HH,COVID shock,102,1.1564316913945525,0.8427844410195281,0.6731936096187896,5.5230361013514084e-5
TTF,HH,Interim recovery,290,0.9034862491203637,0.6480926565543859,0.027805106897074938,0.018146125128456148
TTF,HH,Energy crisis (pre-war),118,1.724532929808202,1.2713905011784647,0.27791750126613357,3.4332835180794774e-4
TTF,HH,Post-invasion crisis,208,1.7533779893475099,1.2364250223263233,0.24880108090407616,2.4718376012700105e-8
TTF,HH,Normalization,801,0.9776281232556149,0.687496353440738,7.352681601254796e-4,0
HH,JKM,Pre-COVID,1001,0.7122235572576642,0.510925898275459,0.37566975094011146,0
HH,JKM,COVID shock,102,1.2738861337736396,1.0036104672488058,0.08667955276290573,0.7697304764401756
HH,JKM,Interim recovery,290,0.9267080569989674,0.616279148280918,0.33975766648898187,1.0978984946974357e-4
HH,JKM,Energy crisis (pre-war),118,1.4111962622482859,0.9448078820099407,0.0010034807725547434,0.02576567969903043
HH,JKM,Post-invasion crisis,208,1.0122400106989902,0.8063405482043796,0.8011203431066434,0.013440250242883978
HH,JKM,Normalization,801,1.194492425739705,0.8139323515950804,0.007006540132911021,1.0552833401800132e-4
HH,NBP,Pre-COVID,1001,0.7207443531288763,0.5181080893229607,0.3112834665389229,0
HH,NBP,COVID shock,102,1.311110355587849,1.0183422526239618,0.16076654229012433,0.9775127880073922
HH,NBP,Interim recovery,290,0.9228511388490926,0.6188950124412655,0.22583070935552851,7.830407766373781e-5
HH,NBP,Energy crisis (pre-war),118,1.4174098624960332,0.9477482290604134,3.4850986445766896e-4,0.015028829907614782
HH,NBP,Post-invasion crisis,208,1.0512019602966405,0.8003305547448696,0.8596351084908123,0.005465769624378614
HH,NBP,Normalization,801,1.1759956920362509,0.8111098387562308,0.002524580239361196,0.0035966832909093416
HH,TTF,Pre-COVID,1001,0.7354451131213132,0.5283047983883119,0.30024842741042046,0
HH,TTF,COVID shock,102,1.3261706572623648,1.0343792876842504,0.17851853852027233,0.9610760972113596
HH,TTF,Interim recovery,290,0.9571626244266689,0.6437581651140075,0.21033898417763774,2.849315828401533e-5
HH,TTF,Energy crisis (pre-war),118,1.4115735193945373,0.9460180027563049,2.0905989658981383e-4,0.014829159495774125
HH,TTF,Post-invasion crisis,208,0.954295755618665,0.7493617720735243,0.5740284086674952,0.08447623668264759
HH,TTF,Normalization,801,1.1754047688215385,0.8072757346434898,0.002002504064061328,0.002942872515946715
