Date,Pair,Spread
2016-06-30,TTF-HH,0.36522244110934743
2016-07-01,TTF-HH,0.3372371647074659
2016-07-05,TTF-HH,0.41195629570399217
2016-07-06,TTF-HH,0.3985014588849929
2016-07-07,TTF-HH,0.4175156029143987
2016-07-08,TTF-HH,0.39144366681729315
2016-07-11,TTF-HH,0.42573689766812095
2016-07-12,TTF-HH,0.4274122087169834
2016-07-13,TTF-HH,0.4208137688401177
2016-07-14,TTF-HH,0.4302143643251741
2016-07-15,TTF-HH,0.4134159992889044
2016-07-18,TTF-HH,0.430856388779016
2016-07-19,TTF-HH,0.43721380642274466
2016-07-20,TTF-HH,0.48452336424433784
2016-07-21,TTF-HH,0.48927257979709893
2016-07-22,TTF-HH,0.4492643012289792
2016-07-25,TTF-HH,0.45966643798745577
2016-07-26,TTF-HH,0.4555654591666224
2016-07-27,TTF-HH,0.4605560724296185
2016-07-28,TTF-HH,0.3672695103701282
2016-07-29,TTF-HH,0.387455031785622
2016-08-01,TTF-HH,0.3961593427247565
2016-08-02,TTF-HH,0.392081643564524
2016-08-03,TTF-HH,0.3468345048985939
2016-08-04,TTF-HH,0.3446052198514018
2016-08-05,TTF-HH,0.34447967084491404
2016-08-08,TTF-HH,0.33251348574851103
2016-08-09,TTF-HH,0.3652802591972303
2016-08-10,TTF-HH,0.3890616171499637
2016-08-11,TTF-HH,0.38553703194007594
2016-08-12,TTF-HH,0.3299878843638212
2016-08-15,TTF-HH,0.27798267536306753
2016-08-16,TTF-HH,0.2858653678358555
2016-08-17,TTF-HH,0.3030276421264413
2016-08-18,TTF-HH,0.2760212293941816
2016-08-19,TTF-HH,0.18528414027078732
2016-08-22,TTF-HH,0.2099928827411779
2016-08-23,TTF-HH,0.21550853876617126
2016-08-24,TTF-HH,0.15384407243561848
2016-08-25,TTF-HH,0.1339705091291854
2016-08-26,TTF-HH,0.15489678148090968
2016-08-29,TTF-HH,0.19231931502973576
2016-08-30,TTF-HH,0.17954681108711812
2016-08-31,TTF-HH,0.251891562249716
2016-09-01,TTF-HH,0.281304327950191
2016-09-02,TTF-HH,0.2891137119232188
2016-09-06,TTF-HH,0.28887752985655457
2016-09-07,TTF-HH,0.27328521122586336
2016-09-08,TTF-HH,0.22328609282966738
2016-09-09,TTF-HH,0.22078109182691041
2016-09-12,TTF-HH,0.17341984690043066
2016-09-13,TTF-HH,0.1903674788263836
2016-09-14,TTF-HH,0.19213822048843054
2016-09-15,TTF-HH,0.22293854225892518
2016-09-16,TTF-HH,0.23929464264209277
2016-09-19,TTF-HH,0.28972497408158104
2016-09-20,TTF-HH,0.2255692252999839
2016-09-21,TTF-HH,0.24046084368949505
2016-09-22,TTF-HH,0.28399635878033114
2016-09-23,TTF-HH,0.3289506677386802
2016-09-26,TTF-HH,0.3067680403317494
2016-09-27,TTF-HH,0.263185535430396
2016-09-28,TTF-HH,0.32214241106638797
2016-09-29,TTF-HH,0.32320447948333064
2016-09-30,TTF-HH,0.4370775847109438
2016-10-03,TTF-HH,0.4471215132204984
2016-10-04,TTF-HH,0.4571856616348786
2016-10-05,TTF-HH,0.4411043431158719
2016-10-06,TTF-HH,0.45754523618656173
2016-10-07,TTF-HH,0.38893928598525895
2016-10-10,TTF-HH,0.3475340563902902
2016-10-11,TTF-HH,0.3362956907408938
2016-10-12,TTF-HH,0.3404695770538333
2016-10-13,TTF-HH,0.3217407503637517
2016-10-17,TTF-HH,0.38637739166347185
2016-10-18,TTF-HH,0.40903417323365776
2016-10-19,TTF-HH,0.43713493895947586
2016-10-20,TTF-HH,0.45545223304959115
2016-10-21,TTF-HH,0.49621896283322653
2016-10-24,TTF-HH,0.5825135533604497
2016-10-25,TTF-HH,0.6194827903375335
2016-10-26,TTF-HH,0.6089612745610007
2016-10-27,TTF-HH,0.6143247844432376
2016-10-28,TTF-HH,0.48736413708699255
2016-10-31,TTF-HH,0.5441057001451459
2016-11-01,TTF-HH,0.6221092933922596
2016-11-02,TTF-HH,0.6879402381914674
