Date,Pair,Correlation
2023-06-05,NBP-HH,0.10657163547209039
2023-06-06,NBP-HH,0.10341861424331328
2023-06-07,NBP-HH,0.10471980663768936
2023-06-08,NBP-HH,0.10590711204334556
2023-06-09,NBP-HH,0.10875832440272909
2023-06-12,NBP-HH,0.1172438462102167
2023-06-13,NBP-HH,0.12534978936730898
2023-06-14,NBP-HH,0.12593569765125187
2023-06-15,NBP-HH,0.1286484697946624
2023-06-16,NBP-HH,0.1192742035498595
2023-06-20,NBP-HH,0.11494010297850313
2023-06-21,NBP-HH,0.11379011966484995
2023-06-22,NBP-HH,0.14936669737606467
2023-06-23,NBP-HH,0.14154740775866786
2023-06-26,NBP-HH,0.14228676447008246
2023-06-27,NBP-HH,0.13460846182508585
2023-06-28,NBP-HH,0.13524917767740238
2023-06-29,NBP-HH,0.1372399279876834
2023-06-30,NBP-HH,0.14116655157694646
2023-07-03,NBP-HH,0.14313864979285834
2023-07-05,NBP-HH,0.14255900806242625
2023-07-06,NBP-HH,0.14347281847313217
2023-07-07,NBP-HH,0.14338273508953223
2023-07-10,NBP-HH,0.20217801045834125
2023-07-11,NBP-HH,0.20343226948135287
2023-07-12,NBP-HH,0.21226960332875242
2023-07-13,NBP-HH,0.21196612007281387
2023-07-14,NBP-HH,0.20455323949853552
2023-07-17,NBP-HH,0.20102514878056604
2023-07-18,NBP-HH,0.2141501041012542
2023-07-19,NBP-HH,0.21812322670346657
2023-07-20,NBP-HH,0.21321478415641043
2023-07-21,NBP-HH,0.21294306498603424
2023-07-24,NBP-HH,0.22356000628154127
2023-07-25,NBP-HH,0.22653112642784645
2023-07-26,NBP-HH,0.23130458328251446
2023-07-27,NBP-HH,0.21810607251281267
2023-07-28,NBP-HH,0.21343610485364153
2023-07-31,NBP-HH,0.2108985366889882
2023-08-01,NBP-HH,0.21034612396677485
2023-08-02,NBP-HH,0.2060246665141315
2023-08-03,NBP-HH,0.2102092044818207
2023-08-04,NBP-HH,0.20327392596090466
2023-08-07,NBP-HH,0.20479855039639594
2023-08-08,NBP-HH,0.20517481445758617
2023-08-09,NBP-HH,0.21934001134095793
2023-08-10,NBP-HH,0.22151242292497617
2023-08-11,NBP-HH,0.22154421010577655
2023-08-14,NBP-HH,0.22115374755260772
2023-08-15,NBP-HH,0.21261934368900803
2023-08-16,NBP-HH,0.21284710094592535
2023-08-17,NBP-HH,0.2087908355287516
2023-08-18,NBP-HH,0.20758248849022554
2023-08-21,NBP-HH,0.2104690404475652
2023-08-22,NBP-HH,0.20963086953167392
2023-08-23,NBP-HH,0.2083897582293167
2023-08-24,NBP-HH,0.20538801538337165
2023-08-25,NBP-HH,0.20606205740006037
2023-08-29,NBP-HH,0.20621460285825557
2023-08-30,NBP-HH,0.20362166013596286
2023-08-31,NBP-HH,0.20206539217855968
2023-09-01,NBP-HH,0.2009034660203304
2023-09-05,NBP-HH,0.2018176655011777
2023-09-06,NBP-HH,0.20387157114238835
2023-09-07,NBP-HH,0.20529252089367775
2023-09-08,NBP-HH,0.20569965626545678
2023-09-11,NBP-HH,0.20507338632462588
2023-09-12,NBP-HH,0.19773041777098083
2023-09-13,NBP-HH,0.20061629183183544
2023-09-14,NBP-HH,0.19874483598053982
2023-09-15,NBP-HH,0.19774514521643466
2023-09-18,NBP-HH,0.19714604590794146
2023-09-19,NBP-HH,0.2026254030435971
2023-09-20,NBP-HH,0.20148957735229586
2023-09-21,NBP-HH,0.18987154079511537
2023-09-22,NBP-HH,0.18673367978228086
2023-09-25,NBP-HH,0.17379849158790447
2023-09-26,NBP-HH,0.1727354545081127
2023-09-27,NBP-HH,0.17246549087007268
2023-09-28,NBP-HH,0.1720312775536732
2023-09-29,NBP-HH,0.17079017558580065
2023-10-02,NBP-HH,0.17701457559653933
2023-10-03,NBP-HH,0.17672952220243499
2023-10-04,NBP-HH,0.1718463998371672
2023-10-05,NBP-HH,0.17029457433345283
2023-10-06,NBP-HH,0.1843399512124406
2023-10-09,NBP-HH,0.18006746258558332
2023-10-10,NBP-HH,0.1830481600679303
2023-10-11,NBP-HH,0.18163747816066725
2023-10-12,NBP-HH,0.1794122625992625
2023-10-13,NBP-HH,0.17568379461015124
2023-10-16,NBP-HH,0.17906392884406588
2023-10-17,NBP-HH,0.1789745547644984
2023-10-18,NBP-HH,0.17991548942362015
2023-10-19,NBP-HH,0.18167019059102796
2023-10-20,NBP-HH,0.17821654510749915
2023-10-23,NBP-HH,0.1722589665409447
2023-10-24,NBP-HH,0.16656877836602824
2023-10-25,NBP-HH,0.1622655372714216
2023-10-26,NBP-HH,0.16961772236903017
2023-10-27,NBP-HH,0.1637547039107888
2023-10-30,NBP-HH,0.17171122226542654
2023-10-31,NBP-HH,0.16720088967380034
2023-11-01,NBP-HH,0.16779812863784746
2023-11-02,NBP-HH,0.1762240610661944
2023-11-03,NBP-HH,0.1640746778599235
2023-11-06,NBP-HH,0.14835159206482967
2023-11-07,NBP-HH,0.14042510455152507
2023-11-08,NBP-HH,0.1325352588124229
2023-11-09,NBP-HH,0.1316997986644278
2023-11-10,NBP-HH,0.13877208705461241
2023-11-13,NBP-HH,0.14510236665626677
2023-11-14,NBP-HH,0.1559976847217893
2023-11-15,NBP-HH,0.15286182660131734
2023-11-16,NBP-HH,0.1528280609484608
2023-11-17,NBP-HH,0.14493867705331884
2023-11-20,NBP-HH,0.14332669595925326
2023-11-21,NBP-HH,0.14180748451845906
2023-11-22,NBP-HH,0.14632234899459556
2023-11-24,NBP-HH,0.14538964742687377
2023-11-27,NBP-HH,0.14669492657465374
2023-11-28,NBP-HH,0.14922224274568804
2023-11-29,NBP-HH,0.14594196647633562
2023-11-30,NBP-HH,0.13632069221083612
2023-12-01,NBP-HH,0.135109543119582
2023-12-04,NBP-HH,0.1391517037656753
2023-12-05,NBP-HH,0.1291829026017662
2023-12-06,NBP-HH,0.13590010154831225
2023-12-07,NBP-HH,0.13483411119613953
2023-12-08,NBP-HH,0.1339274811508491
2023-12-11,NBP-HH,0.13904711309001605
2023-12-12,NBP-HH,0.14154727057860686
