Dependent,Independent,Lag,ACF,Significant
NBP,HH,10,-0.04926726650493652,TRUE
NBP,HH,11,0.036492151809288435,FALSE
NBP,HH,12,0.012658810877225165,FALSE
NBP,HH,13,-0.011536431385179641,FALSE
NBP,HH,14,0.03942069483520641,TRUE
NBP,HH,15,-0.020686689099121042,FALSE
NBP,HH,16,-0.03386535277083927,FALSE
NBP,HH,17,-0.025143922553778664,FALSE
NBP,HH,18,0.004631058171607838,FALSE
NBP,HH,19,-0.014376898297957777,FALSE
NBP,HH,20,0.014163757534804228,FALSE
NBP,HH,21,-0.006279655344446981,FALSE
NBP,HH,22,0.0031614421158837583,FALSE
NBP,HH,23,0.033406758408568694,FALSE
NBP,HH,24,-0.019189385207630288,FALSE
NBP,HH,25,-0.004600687133974637,FALSE
NBP,HH,26,0.0036941281504701256,FALSE
NBP,HH,27,0.022496186221607387,FALSE
NBP,HH,28,0.01493015278002098,FALSE
NBP,HH,29,-0.04077619704492055,TRUE
NBP,HH,30,-0.01900175171103792,FALSE
NBP,HH,31,0.01791409976526925,FALSE
NBP,HH,32,-0.013163478137473981,FALSE
NBP,HH,33,-0.009321456756285281,FALSE
NBP,HH,34,0.04584874504537753,TRUE
NBP,JKM,1,-0.06335142288625523,TRUE
NBP,JKM,2,2.9660673456784995e-4,FALSE
NBP,JKM,3,-0.009343646970499057,FALSE
NBP,JKM,4,-0.011381503424162876,FALSE
NBP,JKM,5,-0.05198841296173966,TRUE
NBP,JKM,6,-0.016879166783771472,FALSE
NBP,JKM,7,-0.00958563947432541,FALSE
NBP,JKM,8,-0.017440739306053568,FALSE
NBP,JKM,9,-0.05308913922698888,TRUE
NBP,JKM,10,-0.041431906537662766,TRUE
NBP,JKM,11,0.03267505906343284,FALSE
NBP,JKM,12,-0.012345609444553936,FALSE
NBP,JKM,13,-0.03565269052290262,FALSE
NBP,JKM,14,0.04005818713855182,TRUE
NBP,JKM,15,-0.031572378260613314,FALSE
NBP,JKM,16,-0.017527390900413872,FALSE
NBP,JKM,17,-0.009950659253561483,FALSE
NBP,JKM,18,0.040504607209011785,TRUE
NBP,JKM,19,0.003552546344002767,FALSE
NBP,JKM,20,-0.002664796870387656,FALSE
NBP,JKM,21,0.007906060199816494,FALSE
NBP,JKM,22,-0.00399732242568364,FALSE
NBP,JKM,23,0.044722306730196636,TRUE
NBP,JKM,24,-0.017023839009803993,FALSE
NBP,JKM,25,-0.014188493840033982,FALSE
NBP,JKM,26,-0.005608899706152416,FALSE
NBP,JKM,27,0.009249805678609085,FALSE
NBP,JKM,28,0.033016642769527794,FALSE
NBP,JKM,29,-0.03873375853343634,FALSE
NBP,JKM,30,-0.03850059655206701,FALSE
NBP,JKM,31,0.02666524476254656,FALSE
NBP,JKM,32,-0.009726200520485161,FALSE
NBP,JKM,33,-0.03557738999634749,FALSE
NBP,JKM,34,0.03134684812342638,FALSE
NBP,TTF,1,0.04462836296497247,TRUE
NBP,TTF,2,0.001137918773540612,FALSE
NBP,TTF,3,0.01311406625865439,FALSE
NBP,TTF,4,-0.11885841319927022,TRUE
NBP,TTF,5,-0.015757651942767285,FALSE
NBP,TTF,6,-0.047151194784645786,TRUE
NBP,TTF,7,-0.021764362010925534,FALSE
