Dependent,Independent,Date,v_t,F_t,LogLik_t
TTF,NBP,2021-07-30,0.002648554281986293,2.640077115327327e-4,3.187542295899788
TTF,NBP,2021-08-02,0.004174796620419752,2.6712188251575784e-4,3.162340676788927
TTF,NBP,2021-08-03,-1.822338248458344e-4,2.6499728226529013e-4,3.1988943011638713
TTF,NBP,2021-08-04,0.006709504186307225,2.663340362585014e-4,3.1119279669076656
TTF,NBP,2021-08-05,-0.002588649227404982,2.67594464318325e-4,3.1815594170236707
TTF,NBP,2021-08-06,0.013815777647358196,2.6670223579311296e-4,2.837906109385472
TTF,NBP,2021-08-09,0.0013540886205105629,2.660715071960453e-4,3.1934885898695726
TTF,NBP,2021-08-10,0.006676163182307349,2.703901884557399e-4,3.10646364978257
TTF,NBP,2021-08-11,0.0028313905094274894,2.7183726553889223e-4,3.1714694106646033
TTF,NBP,2021-08-12,0.00862590781598227,2.704253344199289e-4,3.0512460318402317
TTF,NBP,2021-08-13,-0.006423948486618869,2.691899201552304e-4,3.1144576129830783
TTF,NBP,2021-08-16,0.006976689636423394,2.790739150079246e-4,3.085871765723062
TTF,NBP,2021-08-17,0.003515767558499139,2.729796926808889e-4,3.161477857390324
TTF,NBP,2021-08-18,0.008676697501096342,2.7125700512193506e-4,3.0485126245116505
TTF,NBP,2021-08-19,-0.00308062665892761,2.7633291140571897e-4,3.160841787499971
TTF,NBP,2021-08-20,-0.00710739038250896,2.6721727999567886e-4,3.1002652351629028
TTF,NBP,2021-08-23,-0.0027116491817964494,2.645321958883169e-4,3.185937064770065
TTF,NBP,2021-08-24,0.0033394274210301056,2.746441939403994e-4,3.1607763126313864
TTF,NBP,2021-08-25,-0.010726208919245916,2.7088742751132786e-4,2.975604616160223
TTF,NBP,2021-08-26,0.0021175215300899275,2.71331381703862e-4,3.1788835338074835
TTF,NBP,2021-08-27,-0.007154847327718095,2.776619381280245e-4,3.0834308286446395
TTF,NBP,2021-08-31,8.424931140127434e-4,2.8184399350370405e-4,3.166880696357218
TTF,NBP,2021-09-01,-0.0026922067678696315,2.7910687924505355e-4,3.1600351190788762
TTF,NBP,2021-09-02,-4.340525051440558e-4,2.8316998323399e-4,3.165460398216191
TTF,NBP,2021-09-03,2.2746131093409616e-4,2.81052966928892e-4,3.1694531284862175
TTF,NBP,2021-09-07,0.010234785849521533,2.854716038559116e-4,2.9782756550481633
TTF,NBP,2021-09-08,0.00404716616755918,2.8627562092686044e-4,3.131731203556365
TTF,NBP,2021-09-09,0.003164946223227272,2.88005816307247e-4,3.139936334611546
TTF,NBP,2021-09-10,0.0016455639618615514,2.8975353682923023e-4,3.1496286703156486
TTF,NBP,2021-09-13,0.00851900523711846,2.9587652906432874e-4,3.021204182731347
TTF,NBP,2021-09-14,0.003976690921189796,3.041469760367537e-4,3.1040638009836963
TTF,NBP,2021-09-15,0.0032549150810581295,3.1076235375586706e-4,3.1022565647614937
TTF,NBP,2021-09-16,-4.119551556840406e-4,3.08461899869795e-4,3.1227424926155893
TTF,NBP,2021-09-17,0.00896225665325634,2.995346672606656e-4,3.003623621580159
TTF,NBP,2021-09-20,0.004425951371590298,3.306380912265736e-4,3.058681454632462
TTF,NBP,2021-09-21,-0.0031412284640115473,3.0970260870070526e-4,3.1050801820456835
TTF,NBP,2021-09-22,0.0033574592063598807,3.077835822034579e-4,3.1058058725871796
TTF,NBP,2021-09-23,3.115855453246219e-4,3.034755291133032e-4,3.131006300482693
TTF,NBP,2021-09-24,0.00183279212970211,3.033651154098435e-4,3.125811762636758
TTF,NBP,2021-09-27,0.008990549436672879,3.1553095970455195e-4,2.983602687875852
TTF,NBP,2021-09-28,0.01282083487620067,3.119094598731348e-4,2.8539642422833316
TTF,NBP,2021-09-29,0.016135812673658823,3.258677812702654e-4,2.6960768798336208
TTF,NBP,2021-09-30,-0.03072671418780093,3.543914301252246e-4,1.7215703044067083
