Dependent,Independent,Date,Residual_Std
HH,TTF,2021-06-09,-0.06813670972510537
HH,TTF,2021-06-10,0.13738759849182394
HH,TTF,2021-06-11,1.1102565210752746
HH,TTF,2021-06-14,0.288446137305228
HH,TTF,2021-06-15,-0.6938898794785483
HH,TTF,2021-06-16,0.14686637175648104
HH,TTF,2021-06-17,-0.06418928560001673
HH,TTF,2021-06-18,-0.3588107290000756
HH,TTF,2021-06-21,-0.19774782341489158
HH,TTF,2021-06-22,0.3739337541518205
HH,TTF,2021-06-23,0.40673228759813895
HH,TTF,2021-06-24,0.5168611791438622
HH,TTF,2021-06-25,0.4711056736277734
HH,TTF,2021-06-28,0.7692006514689409
HH,TTF,2021-06-29,-0.028140512923470244
HH,TTF,2021-06-30,0.05822499643678288
HH,TTF,2021-07-01,-0.06617539624021827
HH,TTF,2021-07-02,0.23207873161059978
HH,TTF,2021-07-06,-0.2896135061756531
HH,TTF,2021-07-07,-0.08297745030846568
HH,TTF,2021-07-08,0.46827919005812274
HH,TTF,2021-07-09,-0.4035750337005443
HH,TTF,2021-07-12,0.5819238168479035
HH,TTF,2021-07-13,-0.4027631600956001
HH,TTF,2021-07-14,-0.14173689796771885
HH,TTF,2021-07-15,-0.22541141737003276
HH,TTF,2021-07-16,0.28284950338473547
HH,TTF,2021-07-19,0.5126667010170769
HH,TTF,2021-07-20,0.5716726060132302
HH,TTF,2021-07-21,0.4079103153097297
HH,TTF,2021-07-22,0.2258048368621979
HH,TTF,2021-07-23,0.36555268811732766
HH,TTF,2021-07-26,0.10436301586119759
HH,TTF,2021-07-27,-0.7650469257456937
HH,TTF,2021-07-28,0.03728646655797763
HH,TTF,2021-07-29,-0.12605062639236778
HH,TTF,2021-07-30,-0.7512559435356034
HH,TTF,2021-08-02,0.07228669538710587
HH,TTF,2021-08-03,0.47714494574073013
HH,TTF,2021-08-04,0.5870952706758891
HH,TTF,2021-08-05,-0.14797225361956098
HH,TTF,2021-08-06,0.02999267768855777
HH,TTF,2021-08-09,-0.392718227204903
HH,TTF,2021-08-10,0.05838498002896289
HH,TTF,2021-08-11,-0.2764709025365771
HH,TTF,2021-08-12,-0.6379573266307148
HH,TTF,2021-08-13,-0.2896775502815248
HH,TTF,2021-08-16,0.25796068949004
HH,TTF,2021-08-17,-0.5915603587210857
HH,TTF,2021-08-18,0.22172108278329664
HH,TTF,2021-08-19,0.1273158038297974
HH,TTF,2021-08-20,0.05956533765509244
HH,TTF,2021-08-23,0.5043587956149524
HH,TTF,2021-08-24,-0.46133109156368607
HH,TTF,2021-08-25,0.015533710628330175
HH,TTF,2021-08-26,1.4234968695807646
HH,TTF,2021-08-27,0.6816520212212318
HH,TTF,2021-08-31,-0.08839489401010082
HH,TTF,2021-09-01,1.125546522312526
HH,TTF,2021-09-02,-0.05114695914957816
HH,TTF,2021-09-03,0.38055212488818946
HH,TTF,2021-09-07,-0.7645919586461764
HH,TTF,2021-09-08,1.4232753600834107
HH,TTF,2021-09-09,0.25316905142072277
HH,TTF,2021-09-10,-0.39128192129005523
HH,TTF,2021-09-13,0.9880169083813899
HH,TTF,2021-09-14,-0.24558728836262522
HH,TTF,2021-09-15,0.49711571349768297
HH,TTF,2021-09-16,-0.0996303344657375
HH,TTF,2021-09-17,-0.8462006690055663
HH,TTF,2021-09-20,-0.8639996455687371
HH,TTF,2021-09-21,-0.6741876330148091
HH,TTF,2021-09-22,0.09862189836304872
HH,TTF,2021-09-23,0.6960972868382255
