Dependent,Independent,Window,N,SD_residual,Mean_abs_residual,LB_p,LB_sq_p
NBP,TTF,Pre-COVID,1001,0.680379114157553,0.4525353166187574,0.48898490310531306,0.347864636810687
NBP,TTF,COVID shock,102,2.118777917697591,1.5127475551752496,0.2621133706569252,0.019860763929452796
NBP,TTF,Interim recovery,290,0.8662023806383041,0.5524433678320958,0.0030852591030389176,0
NBP,TTF,Energy crisis (pre-war),118,0.30944141374888795,0.22833364997950836,0.7444828979902862,0.9560020717557891
NBP,TTF,Post-invasion crisis,208,2.4092147965038633,1.5065364530357772,0.38397485782987517,0.36086288357255436
NBP,TTF,Normalization,801,0.45047888083038196,0.3251346166727557,0.3971692343010458,0.5529064005226918
NBP,HH,Pre-COVID,1001,0.6821344460881106,0.4688628391269486,0.003151224567818245,9.663054472209831e-4
NBP,HH,COVID shock,102,1.571168891445468,1.0926164146694195,0.8234952441214817,1.850361206391371e-4
NBP,HH,Interim recovery,290,0.998537967456774,0.7263560908234411,0.23860678334413643,7.998166248190941e-7
NBP,HH,Energy crisis (pre-war),118,1.3449375572123403,0.9783409332072659,0.4016600723538952,2.5010014920390233e-5
NBP,HH,Post-invasion crisis,208,1.6522078453173448,1.2343453650264429,0.622890669405278,1.0544635357512266e-4
NBP,HH,Normalization,801,0.954405187878411,0.6671769049010413,3.509944243718088e-5,0
TTF,JKM,Pre-COVID,1001,0.7370690074516221,0.4873139666654349,1.134075466313611e-6,0
TTF,JKM,COVID shock,102,1.7190192822237529,1.1669964866396343,0.4765236602792008,1.05299537725978e-5
TTF,JKM,Interim recovery,290,1.092878993383112,0.7596256893452069,0.013915189314091525,4.0123805151059955e-5
TTF,JKM,Energy crisis (pre-war),118,1.3161111080959307,0.9907373565240184,0.8258923746797207,0.0803658722210353
TTF,JKM,Post-invasion crisis,208,1.4505801575589035,1.0745864377363434,0.11895697726069843,2.0408623227485823e-4
TTF,JKM,Normalization,801,0.9245471556991622,0.6473308778529233,8.644340221408697e-8,0
TTF,NBP,Pre-COVID,1001,0.6770486727893612,0.44910826683398625,0.06243589160508811,0.8330622443427027
TTF,NBP,COVID shock,102,2.02198839170453,1.3782747499301866,0.16587739941948454,0.994014610995728
TTF,NBP,Interim recovery,290,0.8724192404777825,0.5653608856938703,0.04137323772161372,5.93879412514875e-5
TTF,NBP,Energy crisis (pre-war),118,0.40651261706872877,0.30709777934219,0.48499766961562707,0.7225063494282538
TTF,NBP,Post-invasion crisis,208,2.327215400636397,1.5477801108962048,0.5537873156245666,0.35005213359366016
TTF,NBP,Normalization,801,0.585317897194177,0.40902693720542627,6.398124749309453e-4,0
TTF,HH,Pre-COVID,1001,0.6839068024444052,0.4498322247381228,1.364805127579416e-6,2.220446049250313e-16
TTF,HH,COVID shock,102,1.4816294071371936,0.989017849192125,0.6414044458138204,1.0280239992832563e-5
TTF,HH,Interim recovery,290,1.025312137792689,0.7250088245647028,0.09042654611514678,2.2566079310082365e-4
TTF,HH,Energy crisis (pre-war),118,1.5488305768860786,1.1278570406084343,0.41298721122267745,1.7558073271528585e-5
TTF,HH,Post-invasion crisis,208,1.4916378428338546,1.0007269389769664,0.3654504446392689,1.80855330711438e-13
TTF,HH,Normalization,801,0.9831737824079334,0.6905823294798774,1.4170482585229571e-5,0
HH,JKM,Pre-COVID,1001,0.7201351804268319,0.5164633166747769,0.3771139590016579,0
HH,JKM,COVID shock,102,1.349330940486595,1.0506735660536715,0.17254981032761796,0.8743335590751677
HH,JKM,Interim recovery,290,0.9479554241269436,0.6302731833037317,0.3550041849713681,6.842149931984842e-5
HH,JKM,Energy crisis (pre-war),118,1.359674680846112,0.9201834479560307,0.0026353554542395408,0.05111910520555485
HH,JKM,Post-invasion crisis,208,0.9540027298640538,0.7447306975430465,0.9541717696486999,0.010242224351071805
HH,JKM,Normalization,801,1.194234227401331,0.8079167493140932,0.002083070731975334,7.554676552889994e-6
HH,NBP,Pre-COVID,1001,0.7538235112536692,0.5419417508532535,0.5093804711811019,0
HH,NBP,COVID shock,102,1.4532573804255438,1.112056888029069,0.5038526522744998,0.6680069358996208
HH,NBP,Interim recovery,290,0.984967020565945,0.6663833814483928,0.12685139673352785,6.515989112720888e-7
HH,NBP,Energy crisis (pre-war),118,1.2781798421731554,0.8616049667200616,0.001285865155431276,0.05553378305457035
HH,NBP,Post-invasion crisis,208,0.9137989890066752,0.7058936195530434,0.9837332734039913,0.012952745820319023
HH,NBP,Normalization,801,1.1637300240815134,0.7947816166287588,0.0014272475344548896,1.8460970831024603e-5
HH,TTF,Pre-COVID,1001,0.7632664073046836,0.5482137083673,0.4862464520754002,0
HH,TTF,COVID shock,102,1.4335073736615078,1.1055889554363993,0.2904034388522061,0.7213756414660628
HH,TTF,Interim recovery,290,1.010239066253317,0.6854640997235341,0.09825895362404691,1.7948923758392965e-7
HH,TTF,Energy crisis (pre-war),118,1.2725661837172098,0.8606797308997022,0.0015145298193505186,0.0543061354970773
HH,TTF,Post-invasion crisis,208,0.8564969959424722,0.6627359699513713,0.9766634514666205,0.011652310920209574
HH,TTF,Normalization,801,1.163169833975446,0.7899671961027707,0.0011582674217317512,1.571195405758452e-5
